name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Ednaldo Oliveira,19,85,0.0,1,1.03,1.8,0.0,0.0,0.53,0.43,0.0,9.18,0.47,0.26,0.26,0.0,0.0,0.0,13.0,5.0,1.0,13,2,1,0.8125,0.2235294117647059,0.0,16
Alex Oliveira,629,1230,26.0,86,2.99,2.55,2.35,0.57,0.47,0.64,0.43,9.57,0.59,0.23,0.18,0.55,0.23,0.23,356.0,158.0,115.0,22,12,1,0.6285714285714286,0.5113821138211382,0.3023255813953488,35
David Onama,155,319,0.0,9,5.61,5.58,1.09,0.54,0.53,0.5,0.54,9.2,0.85,0.14,0.01,0.6,0.0,0.4,126.0,23.0,6.0,10,1,0,0.9090909090909092,0.4858934169278996,0.0,11
Wendell Oliveira,30,63,0.0,3,3.77,4.4,0.0,0.0,0.48,1.0,0.0,3.98,0.4,0.6,0.0,0.46,0.42,0.13,7.0,1.0,22.0,24,9,0,0.7272727272727273,0.4761904761904761,0.0,33
Michal Oleksiejczuk,317,633,2.0,7,4.95,4.19,0.7,0.0,0.65,0.5,1.64,7.12,0.87,0.04,0.09,0.71,0.24,0.06,218.0,91.0,8.0,17,5,0,0.7727272727272727,0.5007898894154819,0.2857142857142857,22
Yushin Okami,577,1501,33.0,94,2.06,2.25,1.98,0.48,0.61,0.84,0.21,11.65,0.52,0.13,0.34,0.37,0.54,0.09,461.0,81.0,35.0,34,13,0,0.723404255319149,0.3844103930712858,0.351063829787234,47
Daniel Omielanczuk,332,579,4.0,15,3.09,3.29,0.56,0.14,0.48,0.68,0.28,11.92,0.59,0.32,0.09,0.16,0.37,0.47,169.0,93.0,70.0,19,8,1,0.6785714285714286,0.5734024179620034,0.2666666666666666,28
Alan Omer,93,167,0.0,7,3.49,2.21,1.69,0.0,0.65,0.67,0.0,13.35,0.49,0.33,0.17,0.39,0.11,0.5,60.0,15.0,18.0,18,5,0,0.782608695652174,0.5568862275449101,0.0,23
Cameron Olson,47,99,0.0,7,3.13,2.2,3.0,1.0,0.58,1.0,0.0,15.0,0.19,0.77,0.04,0.13,0.25,0.63,18.0,4.0,25.0,8,3,0,0.7272727272727273,0.4747474747474747,0.0,11
Felipe Olivieri,87,150,0.0,1,6.68,4.6,0.0,0.0,0.57,0.71,0.0,13.03,0.89,0.11,0.0,0.71,0.07,0.21,31.0,28.0,28.0,14,5,0,0.7368421052631579,0.58,0.0,19
Maria Oliveira,170,494,0.0,4,5.14,6.11,0.91,0.0,0.46,0.47,0.0,11.02,0.95,0.04,0.01,0.58,0.33,0.08,106.0,30.0,34.0,13,5,0,0.7222222222222222,0.3441295546558704,0.0,18
Ode' Osbourne,138,309,0.0,8,4.82,4.99,1.05,0.52,0.43,0.67,1.05,4.78,0.84,0.05,0.11,0.45,0.18,0.36,107.0,25.0,6.0,11,4,0,0.7333333333333333,0.4466019417475728,0.0,15
Saimon Oliveira,82,185,0.0,7,2.73,3.1,1.5,2.0,0.55,0.31,0.0,15.0,0.84,0.12,0.04,0.28,0.11,0.61,38.0,20.0,24.0,18,4,0,0.8181818181818182,0.4432432432432432,0.0,22
Brian Ortega,596,1545,1.0,38,4.19,6.66,0.95,1.16,0.5,0.56,0.53,12.95,0.89,0.08,0.04,0.2,0.33,0.47,420.0,110.0,66.0,15,3,0,0.8333333333333334,0.3857605177993528,0.0263157894736842,18
Zak Ottow,203,551,3.0,17,2.63,2.73,0.97,0.39,0.59,0.57,0.39,9.67,0.86,0.03,0.11,0.24,0.24,0.53,118.0,40.0,45.0,17,7,0,0.7083333333333334,0.3684210526315789,0.1764705882352941,24
Nissen Osterneck,75,129,0.0,8,3.15,2.9,0.63,1.26,0.41,0.43,0.0,11.9,0.33,0.59,0.08,0.0,0.0,0.0,38.0,25.0,12.0,5,2,0,0.7142857142857143,0.5813953488372093,0.0,7
Dustin Ortiz,513,1149,32.0,97,2.94,2.17,3.01,0.09,0.56,0.53,0.17,11.95,0.39,0.27,0.34,0.47,0.37,0.16,300.0,157.0,56.0,19,8,0,0.7037037037037037,0.4464751958224543,0.3298969072164948,27
Rick Palacios,116,216,0.0,0,7.73,3.27,0.0,0.0,0.6,1.0,0.0,15.0,0.99,0.01,0.0,0.0,0.0,0.0,53.0,25.0,38.0,10,1,0,0.9090909090909092,0.5370370370370371,0.0,11
Dinis Paiva,39,94,0.0,0,2.6,2.73,0.0,0.0,0.67,0.82,1.0,15.0,0.87,0.03,0.1,0.0,0.0,0.0,21.0,13.0,5.0,13,8,0,0.6190476190476191,0.4148936170212766,0.0,21
