name,Strikes Landed,Strikes Attempted,Takedowns Landed,Takedowns Attempted,Significant strikes per Minute,Significant strikes Absorbed per minute,Takedown Average,Submission Average,Significant Strike Defense,Takedown Defense,Knockdown Average,Average Fight Time,Standing Position Strikes,Clinch Position Strikes,Ground Position Strikes,Wins by KO,Wins by Submission,Wins by Decision,Strikes to Head,Strikes To Body,Strikes To Leg,wins,losses,draws,Win percentage,Striking Accuracy,Takedown Accuracy,Total Fights
Tony Sims,38,60,0.0,2,1.81,0.76,0.71,0.71,0.66,0.5,0.71,7.0,0.37,0.03,0.61,0.83,0.0,0.17,35.0,2.0,1.0,12,4,0,0.75,0.6333333333333333,0.0,16
Everett Sims,10,15,0.0,0,0.81,2.19,0.0,1.22,0.31,0.43,0.0,12.33,0.4,0.6,0.0,0.67,0.0,0.33,4.0,5.0,1.0,4,1,0,0.8,0.6666666666666666,0.0,5
Rory Singer,97,245,0.0,4,2.55,2.42,0.39,0.79,0.64,0.65,0.0,9.52,0.52,0.46,0.02,0.0,0.0,0.0,60.0,16.0,21.0,12,7,0,0.631578947368421,0.3959183673469387,0.0,19
Erick Silva,265,544,6.0,17,2.5,4.18,0.85,1.41,0.5,0.57,0.42,7.07,0.64,0.12,0.23,0.0,0.0,0.0,146.0,77.0,42.0,19,9,0,0.6785714285714286,0.4871323529411764,0.3529411764705882,28
Wes Sims,19,28,0.0,1,1.1,3.3,0.0,2.61,0.37,0.4,0.0,5.75,0.11,0.26,0.63,0.0,0.0,0.0,2.0,17.0,0.0,22,12,1,0.6285714285714286,0.6785714285714286,0.0,35
Douglas Silva de Andrade,479,1212,4.0,12,3.61,4.03,0.68,0.23,0.58,0.7,0.68,12.05,0.91,0.07,0.03,0.71,0.21,0.07,263.0,105.0,111.0,28,5,0,0.8484848484848485,0.3952145214521452,0.3333333333333333,33
Jamey Simmons,9,41,0.0,3,0.79,1.92,0.0,0.0,0.75,0.5,0.0,5.72,0.89,0.11,0.0,0.57,0.29,0.14,6.0,1.0,2.0,7,4,0,0.6363636363636364,0.2195121951219512,0.0,11
Arjan Singh Bhullar,121,214,3.0,8,2.33,3.25,1.73,0.0,0.59,1.0,0.29,13.0,0.52,0.31,0.17,0.38,0.63,0.0,104.0,13.0,4.0,9,1,0,0.9,0.5654205607476636,0.375,10
Chas Skelly,226,555,10.0,38,2.01,3.21,1.74,2.27,0.49,0.39,0.27,9.35,0.65,0.24,0.12,0.21,0.26,0.53,195.0,25.0,6.0,19,3,0,0.8636363636363636,0.4072072072072072,0.2631578947368421,22
Anthony Smith,606,1278,3.0,22,2.99,4.37,0.44,0.74,0.43,0.49,0.52,9.45,0.83,0.11,0.07,0.53,0.08,0.39,396.0,112.0,98.0,36,17,0,0.6792452830188679,0.4741784037558685,0.1363636363636363,53
Dennis Siver,869,2678,13.0,40,3.87,2.67,0.87,0.33,0.65,0.65,0.47,10.68,0.85,0.05,0.1,0.0,0.0,0.0,494.0,118.0,257.0,23,11,0,0.6764705882352942,0.3244958924570575,0.325,34
Dmitrii Smoliakov,20,47,0.0,4,1.44,3.81,0.0,0.0,0.56,0.75,0.0,4.63,0.6,0.35,0.05,0.44,0.0,0.56,11.0,7.0,2.0,9,3,0,0.75,0.425531914893617,0.0,12
Louis Smolka,747,1575,13.0,51,4.67,4.11,1.69,1.78,0.54,0.32,0.19,9.4,0.61,0.11,0.28,0.47,0.12,0.41,497.0,194.0,56.0,17,9,0,0.6538461538461539,0.4742857142857143,0.2549019607843137,26
Trevor Smith,551,986,16.0,59,3.29,3.31,1.7,0.72,0.51,0.61,0.18,10.98,0.53,0.25,0.22,0.07,0.33,0.6,290.0,145.0,116.0,15,10,0,0.6,0.5588235294117647,0.2711864406779661,25
Devonte Smith,197,371,0.0,4,4.55,3.91,0.35,0.35,0.5,0.86,1.04,6.18,0.73,0.19,0.08,0.91,0.0,0.09,124.0,37.0,36.0,11,4,0,0.7333333333333333,0.5309973045822103,0.0,15
Sean Soriano,180,292,0.0,9,3.18,2.14,1.33,0.0,0.56,0.53,0.0,11.3,0.71,0.16,0.13,0.5,0.21,0.29,106.0,32.0,42.0,14,8,0,0.6363636363636364,0.6164383561643836,0.0,22
Rameau Sokoudjou,69,169,0.0,5,2.72,7.17,1.18,1.18,0.56,0.79,0.59,6.35,0.87,0.09,0.04,0.0,0.0,0.0,32.0,14.0,23.0,5,3,0,0.625,0.408284023668639,0.0,8
Jin Soo Son,153,420,1.0,12,5.1,7.63,1.5,0.0,0.52,1.0,0.0,15.0,0.82,0.16,0.03,0.44,0.33,0.22,125.0,18.0,10.0,9,4,0,0.6923076923076923,0.3642857142857142,0.0833333333333333,13
Joe Solecki,172,303,4.0,23,2.54,1.74,2.44,1.11,0.51,0.5,0.0,11.28,0.56,0.06,0.38,0.09,0.27,0.64,144.0,13.0,15.0,12,3,0,0.8,0.5676567656765676,0.1739130434782608,15
Peter Sobotta,251,625,12.0,37,2.14,2.9,1.53,0.51,0.59,0.78,0.51,11.75,0.8,0.06,0.14,0.29,0.12,0.59,149.0,45.0,57.0,17,6,1,0.7083333333333334,0.4016,0.3243243243243243,24
Andre Soukhamthath,266,604,4.0,15,2.77,4.31,1.25,0.16,0.5,0.59,0.94,13.73,0.67,0.22,0.11,0.62,0.15,0.23,122.0,88.0,56.0,13,8,0,0.6190476190476191,0.4403973509933774,0.2666666666666666,21
Joe Soto,238,570,4.0,19,3.36,5.37,0.85,1.91,0.67,0.7,0.0,8.85,0.89,0.01,0.1,0.28,0.17,0.56,195.0,17.0,26.0,18,7,0,0.72,0.4175438596491228,0.2105263157894736,25
Sean Spencer,456,1406,0.0,3,4.24,4.02,0.14,0.0,0.61,0.69,0.42,13.43,0.86,0.11,0.04,0.2,0.6,0.2,345.0,77.0,34.0,12,6,0,0.6666666666666666,0.3243243243243243,0.0,18
Chris Spang,5,57,0.0,0,0.33,4.33,0.0,0.0,0.6,0.5,0.0,15.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5,2,0,0.7142857142857143,0.087719298245614,0.0,7
Tommy Speer,19,37,0.0,3,2.56,5.12,2.02,0.0,0.36,0.33,0.0,2.47,0.0,0.74,0.26,0.0,0.0,0.0,5.0,2.0,12.0,9,3,0,0.75,0.5135135135135135,0.0,12
Georges St-Pierre,1393,2598,90.0,137,3.78,1.4,4.16,1.1,0.73,0.84,0.37,13.15,0.55,0.08,0.38,0.31,0.46,0.23,914.0,257.0,222.0,26,2,0,0.9285714285714286,0.5361816782140107,0.656934306569343,28
Felicia Spencer,245,502,1.0,32,3.21,4.54,1.18,0.2,0.45,0.27,0.0,12.73,0.49,0.26,0.25,0.25,0.25,0.5,167.0,43.0,35.0,9,3,0,0.75,0.4880478087649402,0.03125,12
Cristina Stanciu,44,88,0.0,1,2.5,3.07,0.85,1.7,0.52,0.4,0.0,8.8,0.77,0.05,0.18,0.2,0.2,0.6,17.0,15.0,12.0,5,2,0,0.7142857142857143,0.5,0.0,7
Bruno Souza,112,281,0.0,6,3.73,5.3,0.5,0.0,0.46,0.6,0.0,15.0,0.94,0.06,0.0,0.1,0.7,0.2,64.0,30.0,18.0,10,3,0,0.7692307692307693,0.398576512455516,0.0,13
Ronaldo Souza,710,1508,13.0,122,2.53,2.83,2.57,1.34,0.62,0.58,0.27,9.67,0.58,0.16,0.26,0.31,0.15,0.54,493.0,165.0,52.0,26,10,0,0.7222222222222222,0.4708222811671088,0.1065573770491803,36
Ron Stallings,84,138,0.0,0,3.22,3.26,0.0,0.0,0.51,0.71,0.0,10.27,0.7,0.26,0.04,0.46,0.08,0.46,52.0,22.0,10.0,13,8,0,0.6190476190476191,0.6086956521739131,0.0,21
Cody Stamann,547,1152,15.0,56,4.19,3.39,2.76,0.0,0.63,0.76,0.12,11.87,0.71,0.16,0.13,0.32,0.58,0.11,363.0,131.0,53.0,20,5,1,0.7692307692307693,0.4748263888888889,0.2678571428571428,26
Andreas Stahl,55,145,0.0,3,2.83,4.74,1.55,0.0,0.58,0.8,0.0,9.72,0.73,0.24,0.04,0.33,0.56,0.11,33.0,13.0,9.0,9,2,0,0.8181818181818182,0.3793103448275862,0.0,11
Austin Springer,63,109,0.0,10,3.54,3.15,3.37,0.84,0.42,1.0,0.0,8.9,0.49,0.11,0.4,0.0,0.0,0.0,39.0,12.0,12.0,10,4,0,0.7142857142857143,0.5779816513761468,0.0,14
Pete Spratt,61,106,0.0,1,1.76,1.93,0.43,0.43,0.55,0.46,0.0,4.97,0.39,0.3,0.31,0.0,0.0,0.0,33.0,12.0,16.0,16,8,0,0.6666666666666666,0.5754716981132075,0.0,24
Daniel Spohn,44,89,0.0,1,2.42,1.6,0.0,2.48,0.54,0.29,0.0,9.08,0.57,0.25,0.18,0.44,0.31,0.25,33.0,8.0,3.0,16,5,0,0.7619047619047619,0.4943820224719101,0.0,21
Steve Steinbeiss,133,239,0.0,2,3.92,1.86,0.44,0.0,0.49,0.58,0.0,11.32,0.4,0.5,0.1,0.0,0.0,0.0,47.0,70.0,16.0,4,4,0,0.5,0.5564853556485355,0.0,8
Dominique Steele,165,336,11.0,33,2.32,2.42,2.95,0.0,0.5,0.76,0.63,11.87,0.39,0.37,0.24,0.41,0.41,0.18,120.0,37.0,8.0,14,9,0,0.6086956521739131,0.4910714285714285,0.3333333333333333,23
Damian Stasiak,137,377,13.0,37,1.86,3.1,2.64,0.61,0.53,0.44,0.0,12.32,0.85,0.06,0.09,0.09,0.27,0.64,88.0,28.0,21.0,10,6,0,0.625,0.363395225464191,0.3513513513513513,16
Clifford Starks,45,136,0.0,3,1.94,2.49,1.94,0.0,0.59,0.6,0.0,7.75,0.78,0.07,0.16,0.0,0.0,0.0,40.0,4.0,1.0,8,2,0,0.8,0.3308823529411764,0.0,10
Denis Stojnic,23,99,0.0,0,1.51,6.06,0.0,0.99,0.37,0.8,0.0,7.6,0.17,0.13,0.7,0.0,0.0,0.0,19.0,2.0,2.0,12,3,0,0.8,0.2323232323232323,0.0,15
Aljamain Sterling,962,1924,21.0,111,4.56,2.24,1.71,0.78,0.61,0.41,0.0,13.2,0.67,0.16,0.17,0.04,0.8,0.16,472.0,324.0,166.0,21,3,0,0.875,0.5,0.1891891891891892,24
Julija Stoliarenko,165,400,0.0,9,2.75,4.3,0.5,1.25,0.44,0.63,0.0,12.0,0.9,0.06,0.04,0.0,0.1,0.9,117.0,27.0,21.0,10,7,1,0.5555555555555556,0.4125,0.0,18
Darren Stewart,392,860,6.0,33,3.05,3.29,1.75,0.12,0.49,0.68,0.23,9.17,0.57,0.3,0.14,0.58,0.33,0.08,248.0,58.0,86.0,12,8,0,0.6,0.4558139534883721,0.1818181818181818,20
Dan Stittgen,57,123,0.0,1,2.97,4.42,0.78,0.0,0.37,1.0,0.0,9.62,0.81,0.19,0.0,0.0,0.0,0.0,16.0,12.0,29.0,7,3,0,0.7,0.4634146341463415,0.0,10
Kyle Stewart,32,91,0.0,10,1.41,2.42,1.32,0.0,0.43,0.6,0.0,7.58,0.72,0.16,0.13,0.36,0.36,0.27,20.0,5.0,7.0,8,2,0,0.8,0.3516483516483517,0.0,10
Maia Stevenson,6,11,1.0,1,1.57,3.13,3.91,0.0,0.33,0.5,0.0,3.83,0.67,0.33,0.0,0.5,0.17,0.33,1.0,3.0,2.0,6,5,0,0.5454545454545454,0.5454545454545454,1.0,11
Jeremy Stephens,1234,3017,27.0,78,3.17,3.05,1.16,0.39,0.58,0.65,0.69,11.45,0.73,0.1,0.17,0.68,0.25,0.07,730.0,215.0,289.0,28,19,0,0.5957446808510638,0.4090155783891283,0.3461538461538461,47
Dave Strasser,62,136,0.0,3,3.29,2.07,0.8,0.0,0.59,0.33,0.0,9.43,0.37,0.24,0.39,0.0,0.0,0.0,47.0,13.0,2.0,22,4,4,0.7333333333333333,0.4558823529411764,0.0,30
Jesse Strader,78,151,4.0,7,5.03,5.28,3.87,0.0,0.47,1.0,0.0,7.77,0.81,0.17,0.03,0.8,0.2,0.0,20.0,29.0,29.0,5,3,0,0.625,0.5165562913907285,0.5714285714285714,8
Tatiana Suarez,246,374,18.0,35,4.82,1.45,6.47,0.59,0.49,1.0,0.0,10.2,0.25,0.07,0.69,0.25,0.25,0.5,154.0,52.0,40.0,9,0,0,1.0,0.6577540106951871,0.5142857142857142,9
Amar Suloev,35,84,0.0,1,1.95,6.9,0.83,0.83,0.71,0.88,0.0,9.0,0.94,0.0,0.06,0.0,0.0,0.0,21.0,2.0,12.0,36,6,0,0.8571428571428571,0.4166666666666667,0.0,42
Ken Stone,93,188,0.0,6,3.85,2.9,1.24,0.62,0.49,0.6,0.0,4.83,0.73,0.26,0.01,0.0,0.0,0.0,44.0,15.0,34.0,11,4,0,0.7333333333333333,0.4946808510638298,0.0,15
George Sullivan,232,583,6.0,29,3.53,2.42,1.37,0.69,0.58,0.38,0.0,9.38,0.56,0.14,0.3,0.65,0.35,0.0,133.0,53.0,46.0,17,7,0,0.7083333333333334,0.3979416809605489,0.2068965517241379,24
Genki Sudo,39,100,0.0,10,1.55,2.23,3.58,4.17,0.33,0.5,0.0,8.38,0.36,0.15,0.49,0.0,0.0,0.0,21.0,8.0,10.0,13,3,1,0.7647058823529411,0.39,0.0,17
Kevin Syler,168,242,0.0,5,5.6,4.03,1.0,2.0,0.48,0.78,0.0,15.0,0.81,0.02,0.17,0.0,0.0,0.0,142.0,23.0,3.0,10,1,0,0.9090909090909092,0.6942148760330579,0.0,11
Mike Stumpf,63,146,0.0,8,3.34,8.85,1.59,0.8,0.47,0.33,0.0,9.43,0.81,0.19,0.0,0.0,0.0,0.0,26.0,16.0,21.0,11,4,0,0.7333333333333333,0.4315068493150685,0.0,15
Floyd Sword,3,7,0.0,0,0.78,1.57,0.0,0.0,0.4,0.33,0.0,3.83,0.67,0.33,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14,2,0,0.875,0.4285714285714285,0.0,16
Cub Swanson,1557,3099,11.0,47,4.66,3.65,1.08,0.45,0.61,0.61,0.4,11.53,0.79,0.1,0.1,0.44,0.41,0.15,960.0,290.0,307.0,28,12,0,0.7,0.5024201355275896,0.2340425531914893,40
Tatsuro Taira,57,87,1.0,5,3.8,0.6,1.0,3.0,0.74,0.6,1.0,15.0,0.26,0.04,0.7,0.27,0.27,0.45,45.0,5.0,7.0,11,0,0,1.0,0.6551724137931034,0.2,11
Mairbek Taisumov,233,595,7.0,11,2.98,3.03,1.34,0.0,0.65,0.88,0.77,8.7,0.85,0.06,0.1,0.62,0.08,0.31,145.0,39.0,49.0,27,6,0,0.8181818181818182,0.3915966386554622,0.6363636363636364,33
Brad Tavares,919,2135,16.0,60,3.3,3.01,0.86,0.0,0.57,0.81,0.22,13.25,0.82,0.14,0.04,0.26,0.63,0.11,548.0,158.0,213.0,19,8,0,0.7037037037037037,0.4304449648711944,0.2666666666666666,27
Miesha Tate,666,1510,14.0,108,2.61,3.1,1.88,1.29,0.52,0.55,0.06,12.78,0.67,0.18,0.15,0.21,0.42,0.37,413.0,196.0,57.0,19,9,0,0.6785714285714286,0.4410596026490066,0.1296296296296296,28
Justin Tafa,181,329,0.0,2,5.02,5.94,0.0,0.0,0.49,1.0,0.83,7.2,0.87,0.12,0.01,1.0,0.0,0.0,99.0,54.0,28.0,5,3,0,0.625,0.5501519756838906,0.0,8
Khalid Taha,157,475,0.0,3,2.69,4.02,0.0,0.26,0.45,0.62,0.51,11.68,0.77,0.1,0.13,0.69,0.15,0.15,107.0,24.0,26.0,13,4,0,0.7647058823529411,0.3305263157894736,0.0,17
Paul Taylor,495,1033,0.0,8,4.44,4.47,0.27,0.54,0.55,0.56,0.54,12.4,0.72,0.21,0.07,0.0,0.0,0.0,287.0,72.0,136.0,11,6,1,0.6111111111111112,0.4791868344627299,0.0,18
Taneisha Tennant,85,153,0.0,7,5.67,3.4,0.0,0.0,0.72,1.0,0.0,15.0,0.91,0.02,0.07,0.0,0.0,0.0,29.0,12.0,44.0,5,1,0,0.8333333333333334,0.5555555555555556,0.0,6
Glover Teixeira,932,1863,20.0,95,3.8,3.93,2.2,1.04,0.53,0.6,0.37,9.77,0.47,0.09,0.44,0.55,0.15,0.3,809.0,110.0,13.0,33,8,0,0.8048780487804879,0.5002683843263553,0.2105263157894736,41
Issei Tamura,31,58,0.0,4,1.89,4.58,0.92,0.0,0.45,0.33,1.83,5.47,0.52,0.23,0.26,0.0,0.0,0.0,24.0,4.0,3.0,7,4,0,0.6363636363636364,0.5344827586206896,0.0,11
Stephen Thompson,1023,2327,5.0,12,3.9,2.81,0.29,0.0,0.57,0.64,0.57,14.57,0.9,0.06,0.04,0.44,0.5,0.06,689.0,235.0,99.0,16,6,1,0.6956521739130435,0.4396218306832832,0.4166666666666667,23
Tra Telligman,47,107,0.0,0,3.27,7.23,0.0,0.0,0.57,0.8,1.04,7.2,0.79,0.19,0.02,0.0,0.0,0.0,28.0,10.0,9.0,16,4,0,0.8,0.4392523364485981,0.0,20
Jesse Taylor,28,43,3.0,14,1.94,0.55,7.28,3.12,0.38,1.0,0.0,5.88,0.07,0.14,0.79,0.0,0.0,0.0,25.0,2.0,1.0,32,15,0,0.6808510638297872,0.6511627906976745,0.2142857142857142,47
Nick Thompson,50,114,0.0,2,2.53,2.58,1.52,2.28,0.5,0.36,0.0,9.87,0.28,0.14,0.58,0.0,0.0,0.0,32.0,14.0,4.0,23,9,0,0.71875,0.4385964912280701,0.0,32
Elias Theodorou,644,1524,13.0,46,4.19,2.39,1.27,0.0,0.53,0.59,0.0,13.98,0.63,0.26,0.11,0.35,0.59,0.06,279.0,211.0,154.0,17,3,0,0.85,0.4225721784776903,0.2826086956521739,20
Brandon Thatch,119,278,0.0,6,2.7,3.63,1.36,0.68,0.53,0.5,1.02,7.58,0.66,0.26,0.08,0.73,0.0,0.27,63.0,31.0,25.0,11,5,0,0.6875,0.4280575539568345,0.0,16
Darren Till,340,731,3.0,12,2.26,3.02,0.5,0.0,0.58,0.79,0.5,13.68,0.75,0.11,0.14,0.56,0.33,0.11,232.0,46.0,62.0,18,4,1,0.782608695652174,0.4651162790697674,0.25,23
David Teymur,299,692,4.0,12,4.69,3.53,0.94,0.0,0.55,0.78,0.71,10.63,0.9,0.07,0.03,0.5,0.5,0.0,134.0,61.0,104.0,8,2,0,0.8,0.4320809248554913,0.3333333333333333,10
Tyler Toner,67,146,0.0,0,2.06,2.7,0.0,0.46,0.62,0.55,0.46,10.87,0.61,0.07,0.31,0.0,0.0,0.0,48.0,7.0,12.0,11,3,0,0.7857142857142857,0.4589041095890411,0.0,14
Nolan Ticman,77,162,0.0,5,2.57,2.53,0.0,0.0,0.68,0.6,0.0,15.0,0.55,0.34,0.12,0.25,0.25,0.5,37.0,15.0,25.0,4,3,0,0.5714285714285714,0.4753086419753086,0.0,7
Denis Tiuliulin,31,82,0.0,1,4.45,6.03,0.0,0.0,0.37,0.33,0.0,6.97,0.97,0.03,0.0,0.8,0.2,0.0,28.0,3.0,0.0,10,6,0,0.625,0.3780487804878049,0.0,16
Duško Todorović,281,513,2.0,28,5.36,4.77,1.14,0.0,0.48,0.5,0.0,8.73,0.47,0.35,0.18,0.64,0.09,0.27,184.0,80.0,17.0,11,3,0,0.7857142857142857,0.5477582846003899,0.0714285714285714,14
Gleison Tibau,601,1889,84.0,157,1.95,2.51,4.08,0.83,0.63,0.92,0.1,11.03,0.64,0.16,0.2,0.0,0.0,0.0,467.0,91.0,43.0,40,14,0,0.7407407407407407,0.3181577554261514,0.535031847133758,54
Tecia Torres,976,1998,7.0,61,4.74,3.59,0.66,0.07,0.61,0.62,0.07,13.73,0.83,0.13,0.04,0.08,0.85,0.08,544.0,228.0,204.0,13,6,0,0.6842105263157895,0.4884884884884884,0.1147540983606557,19
Simeon Thoresen,103,236,0.0,5,3.85,3.85,1.12,1.68,0.65,0.5,0.0,8.92,0.64,0.29,0.07,0.0,0.0,0.0,64.0,28.0,11.0,17,4,1,0.7727272727272727,0.4364406779661017,0.0,22
Arman Tsarukyan,354,779,3.0,51,3.76,1.86,2.71,0.0,0.54,0.75,0.32,13.45,0.68,0.07,0.25,0.39,0.33,0.28,220.0,86.0,48.0,18,3,0,0.8571428571428571,0.4544287548138639,0.0588235294117647,21
Salim Touahri,117,249,0.0,3,2.6,2.87,0.0,0.0,0.58,0.83,0.0,15.0,0.66,0.28,0.06,0.6,0.2,0.2,49.0,58.0,10.0,10,4,0,0.7142857142857143,0.4698795180722891,0.0,14
Manuel Torres,59,106,0.0,1,10.5,3.74,0.0,0.0,0.59,1.0,5.34,2.82,0.81,0.08,0.1,0.46,0.08,0.46,44.0,10.0,5.0,13,2,0,0.8666666666666667,0.5566037735849056,0.0,15
Anthony Torres,24,49,0.0,0,3.54,7.52,0.0,2.21,0.45,1.0,0.0,3.4,0.58,0.29,0.13,0.0,0.0,0.0,17.0,4.0,3.0,5,1,0,0.8333333333333334,0.4897959183673469,0.0,6
Alex Torres,37,99,0.0,9,2.47,2.73,2.0,0.0,0.69,0.5,0.0,15.0,0.7,0.3,0.0,1.0,0.0,0.0,22.0,8.0,7.0,2,2,0,0.5,0.3737373737373737,0.0,4
Antonio Trocoli,5,7,0.0,1,1.27,4.56,3.8,3.8,0.25,1.0,0.0,3.95,0.8,0.2,0.0,0.0,0.0,0.0,1.0,4.0,0.0,10,3,0,0.7692307692307693,0.7142857142857143,0.0,13
Abel Trujillo,273,662,15.0,33,2.65,2.31,2.18,0.44,0.6,0.4,0.44,9.38,0.53,0.23,0.24,0.47,0.4,0.13,195.0,59.0,19.0,15,8,0,0.6521739130434783,0.4123867069486405,0.4545454545454545,23
Michael Trizano,270,511,0.0,3,3.45,4.34,0.38,0.57,0.49,0.72,0.19,13.07,0.84,0.12,0.04,0.2,0.6,0.2,131.0,72.0,67.0,10,3,0,0.7692307692307693,0.5283757338551859,0.0,13
Frank Trigg,74,157,0.0,3,2.7,3.98,1.1,1.1,0.57,0.75,0.55,3.92,0.19,0.2,0.61,0.0,0.0,0.0,63.0,10.0,1.0,19,8,0,0.7037037037037037,0.4713375796178344,0.0,27
Francisco Trevino,82,193,0.0,9,2.65,2.42,0.97,0.0,0.64,0.41,0.0,10.32,0.68,0.24,0.07,0.42,0.33,0.25,38.0,11.0,33.0,12,2,0,0.8571428571428571,0.4248704663212435,0.0,14
Francisco Trinaldo,969,2163,16.0,46,3.15,2.6,0.98,0.54,0.61,0.6,0.24,12.28,0.69,0.17,0.14,0.32,0.5,0.18,596.0,268.0,105.0,28,8,0,0.7777777777777778,0.4479889042995839,0.3478260869565217,36
Tai Tuivasa,325,614,0.0,3,4.54,3.56,0.0,0.0,0.49,0.5,1.47,6.52,0.67,0.29,0.04,0.93,0.07,0.0,206.0,58.0,61.0,15,3,0,0.8333333333333334,0.5293159609120521,0.0,18
Wellington Turman,179,361,4.0,39,2.96,4.04,1.98,0.99,0.42,0.86,0.0,10.08,0.69,0.21,0.1,0.24,0.35,0.41,115.0,40.0,24.0,18,5,0,0.782608695652174,0.4958448753462603,0.1025641025641025,23
Ricky Turcios,237,697,2.0,11,5.27,4.02,0.67,0.0,0.56,0.45,0.33,15.0,0.76,0.19,0.05,0.25,0.67,0.08,139.0,54.0,44.0,12,3,0,0.8,0.3400286944045911,0.1818181818181818,15
Albert Tumenov,279,664,0.0,5,3.76,3.34,0.2,0.0,0.59,0.75,1.01,9.27,0.87,0.07,0.06,0.65,0.35,0.0,223.0,44.0,12.0,17,4,0,0.8095238095238095,0.4201807228915662,0.0,21
Jumabieke Tuerxun,51,176,0.0,9,1.6,3.08,0.47,0.94,0.6,0.67,0.0,10.6,0.78,0.14,0.08,0.18,0.53,0.29,31.0,11.0,9.0,17,3,0,0.85,0.2897727272727273,0.0,20
Gavin Tucker,309,685,1.0,33,4.39,4.28,2.98,1.49,0.57,0.54,0.0,11.73,0.8,0.16,0.04,0.31,0.23,0.46,189.0,78.0,42.0,13,2,0,0.8666666666666667,0.4510948905109489,0.0303030303030303,15
Tagir Ulanbekov,154,348,11.0,26,3.42,3.36,3.67,0.67,0.54,0.61,0.0,15.0,0.77,0.16,0.08,0.14,0.43,0.43,124.0,19.0,11.0,14,2,0,0.875,0.4425287356321839,0.4230769230769231,16
Zubaira Tukhugov,287,725,7.0,37,2.94,2.84,2.46,0.0,0.65,1.0,0.46,12.22,0.82,0.08,0.11,0.35,0.6,0.05,248.0,32.0,7.0,20,5,1,0.7692307692307693,0.3958620689655172,0.1891891891891892,26
Jon Tuck,324,809,3.0,9,3.0,3.74,0.42,0.97,0.61,0.5,0.28,11.98,0.8,0.09,0.11,0.4,0.1,0.5,182.0,82.0,60.0,10,5,0,0.6666666666666666,0.4004944375772559,0.3333333333333333,15
Hector Urbina,19,49,0.0,1,0.97,2.44,0.0,3.82,0.39,0.38,0.0,6.55,0.53,0.37,0.11,0.53,0.18,0.29,14.0,2.0,3.0,25,10,0,0.7142857142857143,0.3877551020408163,0.0,35
Kamaru Usman,1164,2214,28.0,102,4.66,2.59,3.0,0.12,0.59,1.0,0.6,16.67,0.55,0.17,0.28,0.47,0.47,0.05,718.0,349.0,97.0,20,1,0,0.9523809523809524,0.5257452574525745,0.2745098039215686,21
Carlos Ulberg,237,380,2.0,2,8.91,3.95,1.13,0.0,0.51,1.0,1.13,6.65,0.93,0.06,0.01,0.5,0.33,0.17,140.0,50.0,47.0,7,1,0,0.875,0.6236842105263158,1.0,8
Marcin Tybura,677,1370,11.0,58,3.65,3.44,1.54,0.08,0.55,0.82,0.08,12.35,0.66,0.11,0.23,0.41,0.32,0.27,460.0,120.0,97.0,22,7,0,0.7586206896551724,0.4941605839416058,0.1896551724137931,29
Yasuhiro Urushitani,70,176,0.0,1,3.47,4.71,0.0,0.0,0.65,0.8,0.0,10.1,1.0,0.0,0.0,0.0,0.0,0.0,39.0,15.0,16.0,19,6,6,0.6129032258064516,0.3977272727272727,0.0,31
Jared Vanderaa,364,802,0.0,1,5.23,5.84,0.22,0.0,0.43,0.2,0.0,9.95,0.84,0.11,0.04,0.58,0.17,0.25,209.0,86.0,69.0,12,9,0,0.5714285714285714,0.4538653366583541,0.0,21
Matt Van Buren,102,222,0.0,0,7.73,6.82,0.0,0.0,0.49,0.5,0.0,6.6,0.73,0.27,0.0,0.43,0.43,0.14,55.0,42.0,5.0,7,4,0,0.6363636363636364,0.4594594594594595,0.0,11
Isaac Vallie-Flagg,417,871,0.0,8,5.56,5.6,0.2,0.0,0.45,0.59,0.0,15.0,0.68,0.31,0.02,0.43,0.43,0.14,256.0,92.0,69.0,14,5,1,0.7,0.478760045924225,0.0,20
Timur Valiev,270,509,4.0,15,5.19,3.33,1.73,0.29,0.45,0.56,0.29,13.0,0.81,0.06,0.12,0.28,0.61,0.11,126.0,73.0,71.0,18,3,0,0.8571428571428571,0.5304518664047151,0.2666666666666666,21
Kazula Vargas,138,256,0.0,4,3.65,1.77,0.4,0.4,0.58,0.3,0.0,9.47,0.86,0.04,0.1,0.58,0.17,0.25,77.0,38.0,23.0,12,5,0,0.7058823529411765,0.5390625,0.0,17
Cain Velasquez,745,1287,34.0,88,6.37,2.33,5.13,0.38,0.57,0.86,1.28,6.88,0.36,0.26,0.38,0.86,0.14,0.0,564.0,80.0,101.0,14,3,0,0.8235294117647058,0.5788655788655789,0.3863636363636363,17
Ketlen Vieira,435,1061,8.0,35,3.13,4.03,1.51,0.43,0.52,0.92,0.0,15.45,0.76,0.19,0.06,0.17,0.5,0.33,346.0,68.0,21.0,13,2,0,0.8666666666666667,0.4099905749293119,0.2285714285714285,15
Marvin Vettori,864,1897,7.0,60,4.35,3.48,2.04,0.6,0.6,0.76,0.08,16.57,0.81,0.08,0.11,0.11,0.39,0.5,704.0,102.0,58.0,18,5,1,0.75,0.4554559831312599,0.1166666666666666,24
